female,male,site,block,height,volume,rust,stemform
427,0,101,11,25.5,1.4920930862,0,5
427,0,101,13,27,1.1542396545,0,4
427,0,101,19,25,1.1168375015,0,4
427,0,101,12,19,0.6299448013,0,5
427,0,101,5,30,1.8135890961,0,3
427,0,101,14,23.5,0.8084917068,0,4
427,0,101,15,24.5,0.7645783424,0,3
427,0,101,4,27,1.3575868607,0,4
427,0,101,6,31,2.5240898132,0,4
427,0,101,18,27,1.6356010437,0,3
117,0,101,1,22.5,0.739777565,0,4
117,0,101,13,8.5,0.05771631,0,6
117,0,101,3,22.5,0.8121495247,0,4
117,0,101,14,24,1.2104892731,1,4
117,0,101,5,22,1.0697078705,0,4
117,0,101,10,20.5,0.8478941917,0,4
117,0,101,7,26,1.4125814438,0,3
117,0,101,18,22.5,0.9674844742,0,4
117,0,101,15,23,0.9070372581,0,2
117,0,101,6,24.5,1.2350053787,0,4
117,0,101,11,26,1.6328754425,0,4
117,0,101,16,24.5,1.0067596436,0,3
117,0,101,20,18,0.8135619164,0,6
117,0,101,12,22.5,0.8496594429,0,3
117,0,101,9,26.5,1.6059370041,0,4
117,0,101,19,23,0.7198314667,0,3
117,0,101,17,26,1.4125814438,0,3
117,0,101,4,23,0.8294482231,0,3
117,0,101,8,20.5,0.7429552078,0,5
117,0,101,2,22.5,0.6378393173,0,4
119,0,101,16,22,0.7240872383,1,5
119,0,101,14,22,1.0697078705,0,4
119,0,101,4,22.5,0.8121495247,0,3
119,0,101,18,20,0.6303372383,0,3
119,0,101,13,25,1.1168375015,0,1
119,0,101,12,18,0.2910716534,0,6
119,0,101,8,24,0.6103320122,0,6
119,0,101,20,20.5,0.7429552078,0,4
119,0,101,15,21.524993896,1.0063886642,0,3
119,0,101,7,19,0.4644896984,0,4
119,0,101,3,19.5,0.615421772,0,4
119,0,101,2,24,1.2104892731,0,2
119,0,101,5,24.5,0.8414611816,0,3
119,0,101,19,24.5,1.1874341965,0,3
119,0,101,17,20,0.514228344,0,4
119,0,101,9,12.5,0.1317749023,0,5
119,0,101,11,15.5,0.2893750668,0,5
119,0,101,6,24,0.86404562,0,3
122,0,101,14,23.5,0.8467469215,0,4
122,0,101,18,25.5,1.6586370468,0,4
122,0,101,10,23,1.3982839584,0,5
122,0,101,1,25.5,1.0919876099,0,3
122,0,101,2,28,2.0771484375,0,2
122,0,101,20,23,0.7920069695,0,4
122,0,101,3,21,1.1049909592,0,6
122,0,101,7,25,1.2109794617,0,2
122,0,101,12,20,0.758998394,0,5
122,0,101,9,26,1.2580709457,0,4
122,0,101,5,22,0.9074687958,0,5
122,0,101,8,19,0.7227339745,1,5
122,0,101,19,26,1.6904983521,0,3
122,0,101,11,22,1.2457532883,0,5
122,0,101,15,20,0.6930990219,0,5
122,0,101,6,19.5,0.8429813385,0,5
122,0,101,17,26,1.0209493637,0,3
122,0,101,4,26.5,1.3855648041,0,5
122,0,101,13,23,0.7554683685,0,5
128,0,101,9,23.5,0.9260230064,0,3
128,0,101,18,26,1.4125814438,0,2
128,0,101,20,23,1.1614570618,0,4
128,0,101,15,25.5,1.5466070175,0,4
128,0,101,3,21,0.4822394848,0,3
128,0,101,5,20,0.8280363083,0,2
128,0,101,7,26,1.1127386093,0,5
128,0,101,6,25,1.5169429779,0,4
128,0,101,12,24.5,1.2350053787,0,4
128,0,101,17,28,2.0771484375,0,5
128,0,101,8,27.5,1.665266037,0,1
128,0,101,16,19.5,0.645635128,0,4
128,0,101,14,24.5,1.0951747894,0,2
128,0,101,13,13.5,0.1014925241,0,5
128,0,101,11,25.5,1.0919876099,0,4
128,0,101,10,25,1.5713691711,0,3
128,0,101,2,25.5,1.4920930862,0,2
128,0,101,1,25,1.259522438,0,4
128,0,101,4,26,1.3600578308,0,3
128,0,101,19,23.5,0.9260230064,0,3
485,0,101,5,26,1.1601629257,0,2
485,0,101,14,21,0.7602539063,0,3
485,0,101,7,25,0.7417392731,0,6
485,0,101,18,22.049987793,0.8333406448,0,5
485,0,101,8,24.5,1.0067596436,0,3
485,0,101,12,32,1.8638381958,0,4
485,0,101,15,25.5,1.2840385437,0,4
485,0,101,10,24,1.1638889313,0,2
485,0,101,9,25.5,1.0919876099,0,3
485,0,101,4,26.5,1.1818246841,0,2
485,0,101,1,23.5,0.5983190536,0,4
485,0,101,11,24,0.6781144142,0,4
485,0,101,3,27.5,1.4921321869,0,5
485,0,101,17,30.5,1.9772500992,0,2
485,0,101,19,28.5,1.3215780258,0,5
485,0,101,13,25,1.3595485687,0,1
485,0,101,20,28.5,1.6038579941,0,4
485,0,101,6,23.5,1.4791088104,0,4
488,0,101,4,25.5,0.9584527016,0,3
488,0,101,15,22.5,0.739777565,0,5
488,0,101,11,25,1.3595485687,0,3
488,0,101,9,30,1.6864967346,0,2
488,0,101,1,21,0.867752552,0,4
488,0,101,3,22,0.7590374947,0,4
488,0,101,20,22,1.2004480362,0,3
488,0,101,10,24.5,0.922188282,0,4
488,0,101,13,25,1.0266180038,0,3
488,0,101,17,21.5,0.925983429,0,3
488,0,101,6,26,1.1601629257,0,3
488,0,101,8,24.5,1.0951747894,0,3
488,0,101,16,26.5,1.2816162109,0,3
488,0,101,12,22.5,0.9273271561,0,4
488,0,101,7,28,1.8810968399,0,1
488,0,101,5,24,1.4063053131,0,4
488,0,101,2,23.5,1.0956354141,0,4
488,0,101,19,24,0.9450082779,0,1
488,0,101,18,23.5,0.8084917068,0,4
488,0,101,14,28,1.6350717545,0,3
489,0,101,15,16,0.3550493717,0,6
489,0,101,7,25,0.9829788208,0,3
489,0,101,20,24.5,1.2835378647,0,2
489,0,101,14,28.5,1.7866411209,0,2
489,0,101,4,20.5,0.4200956821,0,4
489,0,101,5,24.5,1.3330316544,0,3
489,0,101,3,25,1.0266180038,0,4
489,0,101,16,25,0.8986430168,0,5
489,0,101,13,21.5,0.925983429,0,5
489,0,101,9,27,1.2034873962,0,3
489,0,101,11,26,1.20860672,0,3
489,0,101,1,24,1.0297365189,0,3
489,0,101,8,22.5,0.6056246758,0,4
489,0,101,10,24,0.9040560722,0,4
489,0,101,12,28,1.6949310303,0,4
489,0,101,6,24,0.8249764442,1,3
489,0,101,17,25.5,1.0919876099,0,2
491,0,101,8,29,1.7542600632,0,4
491,0,101,9,20.5,0.7095837593,0,3
491,0,101,13,24,0.9450082779,0,2
491,0,101,6,23,0.7554683685,0,5
491,0,101,14,23.5,0.8467469215,0,3
491,0,101,19,27.5,1.7860822678,0,3
491,0,101,12,26.5,1.8429403305,0,1
491,0,101,11,25.5,0.6818799973,0,3
491,0,101,18,13,0.1461513042,0,4
491,0,101,4,27,1.3575868607,0,1
491,0,101,1,21,0.6927065849,0,3
491,0,101,17,23,0.8294482231,0,5
491,0,101,2,26,1.20860672,0,4
491,0,101,20,26.5,2.0316066742,0,2
491,0,101,10,25,1.2109794617,0,3
491,0,101,15,22,0.8315272331,0,1
491,0,101,7,28.5,1.4875917435,0,2
492,0,101,16,21.5,0.5502672195,0,5
492,0,101,20,25.5,1.2840385437,0,1
492,0,101,14,20.5,0.7429552078,0,5
492,0,101,12,23.5,0.5983190536,0,6
492,0,101,18,27.5,1.3821029663,0,4
492,0,101,2,27,1.2537946701,0,4
492,0,101,19,24,1.2104892731,0,3
492,0,101,15,14,0.1789637804,0,5
492,0,101,10,29,2.1501274109,0,2
492,0,101,13,24.5,1.2350053787,0,4
492,0,101,3,29.5,1.366765976,0,2
492,0,101,9,28,1.3522520065,0,1
492,0,101,11,25,0.9403204918,0,4
492,0,101,4,25.5,1.0919876099,0,3
492,0,101,5,27,1.1542396545,0,1
492,0,101,7,28,2.0107002258,0,3
492,0,101,8,21.5,0.7425532341,0,4
492,0,101,1,28.5,1.8498048782,0,1
492,0,101,6,26,0.9332404137,0,1
148,0,101,5,24.5,1.3834857941,0,5
148,0,101,4,23,1.0301876068,0,4
148,0,101,17,21,0.6601686478,0,4
148,0,101,2,25.5,1.2840385437,0,5
148,0,101,3,24,1.118229866,0,2
148,0,101,12,24,1.1638889313,0,3
148,0,101,7,18,0.6864695549,0,5
148,0,101,20,23,0.9882354736,0,4
148,0,101,6,25,1.5713691711,0,6
148,0,101,16,27.5,2.312494278,0,4
148,0,101,19,22,0.8315272331,0,2
148,0,101,9,25.5,1.1860122681,0,3
148,0,101,13,25.5,1.0919876099,0,4
148,0,101,18,21.5,0.8876109123,0,4
148,0,101,10,22.5,1.050447464,0,5
148,0,101,11,26,1.8088035583,0,5
148,0,101,1,23.5,0.9670433998,0,4
148,0,101,8,26,1.3600578308,0,4
148,0,101,15,25,1.309044838,0,4
148,0,101,14,22,1.0697078705,0,4
151,0,101,16,22,0.7948513031,0,5
151,0,101,13,12.5,0.1222136617,0,6
151,0,101,12,23,0.9882354736,0,3
151,0,101,6,14,0.1666076183,0,4
151,0,101,4,26,0.6945896149,0,3
151,0,101,14,22.5,0.6709361076,0,3
151,0,101,1,27.5,1.9753961563,0,3
151,0,101,10,23.5,1.2799978256,0,2
151,0,101,20,14,0.2646334171,0,5
151,0,101,17,28,1.6949310303,0,4
151,0,101,5,23.5,0.8467469215,0,3
151,0,101,9,22.5,0.6709361076,0,3
151,0,101,8,26.5,1.2312011719,0,4
151,0,101,18,16.5,0.3650910854,0,5
151,0,101,7,27,1.7542209625,0,3
151,0,101,11,28.5,2.1136379242,0,2
151,0,101,3,25.5,1.2840385437,0,1
151,0,101,15,24,0.8249764442,0,2
153,0,101,18,24.5,0.9639935493,0,2
153,0,101,10,22.5,0.9674844742,0,3
153,0,101,3,24.5,0.9639935493,0,4
153,0,101,14,23,0.7920069695,0,3
153,0,101,20,23.5,1.2325248718,0,4
153,0,101,4,24.5,1.4349012375,0,5
153,0,101,12,26,1.5206890106,0,5
153,0,101,16,24,1.0297365189,0,4
153,0,101,9,23,0.5249567032,0,4
153,0,101,5,23.5,1.1403436661,0,2
153,0,101,19,18,0.3306114674,0,3
153,0,101,17,18.5,0.4052586555,0,4
153,0,101,13,21.5,0.7083969116,0,3
153,0,101,7,23,0.8677916527,0,3
153,0,101,2,22.5,0.9273271561,0,4
153,0,101,1,20.5,0.7095837593,0,6
153,0,101,11,20.5,0.5841388702,0,6
153,0,101,8,25,1.259522438,0,3
153,0,101,15,28,1.4620847702,0,4
154,0,101,4,23.5,1.1859731674,0,4
154,0,101,7,25.5,1.0919876099,0,4
154,0,101,15,24.5,1.2350053787,0,4
154,0,101,20,18.5,0.5576515198,0,5
154,0,101,16,23,1.1167984009,0,2
154,0,101,5,24.5,1.3330316544,0,5
154,0,101,18,27.5,1.7860822678,0,2
154,0,101,3,27,1.4110717773,0,3
154,0,101,6,20.5,0.9218745232,0,6
154,0,101,12,18.5,0.6737604141,0,5
154,0,101,8,20.5,0.8478941917,0,5
154,0,101,10,18.5,0.4052586555,0,4
154,0,101,11,22,0.7590374947,0,5
154,0,101,14,21.5,0.7775526047,0,4
154,0,101,13,21,0.7602539063,0,4
