site,block,female,male,height,rust,volume
1,6,C10048,0,11.6,1,14.38
1,6,C10756,0,16.2,1,28.28
1,6,C17100,0,15.3,0,23.66
1,6,C10049,0,13.2,0,22.24
1,6,C10050,0,11,1,8.89
1,6,C10051,0,13,1,19.31
1,6,C10052,0,14,1,20.53
1,6,C10053,0,15.4,0,34.3
1,6,C10054,0,15.4,0,34.3
1,6,C10055,0,13,1,16.86
1,6,C10056,0,12.5,0,13.18
1,6,C10057,0,11.3,0,9.78
1,6,C10058,0,13.1,1,14.7
1,6,C10059,0,15.4,1,25.39
1,6,C10060,0,13,1,11.63
1,6,c10061,0,15.2,1,28.44
1,6,C10062,0,17.2,1,31.74
1,6,C10063,0,14.5,0,19.75
1,6,C10064,0,16.4,1,32.32
1,6,C10065,0,15,1,23.26
1,6,C10066,0,11.8,1,10.87
1,6,C10067,0,14,0,24.9
1,6,C10068,0,14.5,1,28.97
1,6,C10069,0,10,0,6.69
1,6,C10070,0,12.5,1,15.24
1,6,C10071,0,10.8,0,9.49
1,6,C10072,0,17.4,1,40.53
1,6,C10073,0,15,1,23.26
1,6,C10074,0,13.7,1,20.16
1,7,C1001,0,17.3,1,38.12
1,7,C1002,0,13.9,0,27.91
1,7,C1003,0,12.9,0,21.82
1,7,C1004,0,17.1,0,37.71
1,7,C1005,0,13.8,0,26.13
1,7,C1006,0,13.8,1,23.1
1,7,C1007,0,14.4,0,22.46
1,7,C1008,0,17.4,0,30.13
1,7,C1009,0,10.9,1,11.09
1,7,C10010,0,16,1,19.97
1,7,C10011,0,14.5,0,25.67
1,7,C10012,0,14.4,0,21.02
1,7,C10013,0,17,0,37.51
1,7,C10014,0,14.1,0,26.63
1,7,C10015,0,12.4,0,11.25
1,7,C10016,0,14.3,1,22.33
1,7,C10017,0,16,0,26.25
1,7,C10018,0,14,0,16.66
1,7,C10020,0,15.5,0,25.53
1,7,C10021,0,15.1,0,26.59
1,7,C10022,0,12.1,1,18.2
1,7,C10024,0,14.3,0,25.36
1,7,C10025,0,15,0,33.5
1,7,C10026,0,17.5,0,38.52
1,7,C10027,0,15.2,1,23.52
1,7,C10028,0,14.4,0,25.51
1,7,C10029,0,14,0,14.35
1,7,C10030,0,16.5,0,34.47
1,7,C10031,0,16.3,0,24.98
1,7,C10032,0,16.3,0,28.43
1,7,C10033,0,13,1,14.62
1,7,C10034,0,15.3,0,26.9
1,7,C10035,0,14.5,1,28.97
1,7,C10037,0,17.4,0,36.17
1,7,C10038,0,15.4,0,23.79
1,7,C10039,0,14.6,0,25.82
1,7,C10040,0,15.4,0,38.29
1,7,C10041,0,15.5,0,25.53
1,7,C10042,0,13.5,0,19.92
1,7,C10043,0,14.1,0,23.53
1,7,C10044,0,16.4,1,34.28
1,7,C10045,0,14.4,0,28.79
1,7,C10046,0,17.4,0,32.07
1,7,C10047,0,14,0,21.93
1,7,C10048,0,14,0,17.9
1,7,C10756,0,15.6,0,32.77
1,7,C17100,0,16,1,29.76
1,7,C10049,0,14.4,1,25.51
1,7,C10050,0,15.2,0,30.2
1,7,C10051,0,13.2,1,18.28
1,7,C10052,0,14,1,16.66
1,7,C10053,0,13.9,1,24.74
1,7,C10054,0,14.1,1,20.65
1,7,C10055,0,11.6,1,14.38
1,7,C10056,0,15.9,0,21.33
1,7,C10057,0,13.3,0,13.81
1,7,C10058,0,12.6,1,15.33
1,7,C10059,0,13.5,1,18.62
1,7,C10060,0,16.5,1,22.01
1,7,c10061,0,13.7,1,20.16
1,7,C10062,0,15.1,1,28.28
1,7,C10063,0,16,0,33.53
1,7,C10064,0,15,1,26.44
1,7,C10065,0,12.1,1,11.06
1,7,C10066,0,15.1,1,24.96
1,7,C10067,0,15.4,1,27.05
1,7,C10068,0,14.2,0,23.67
1,7,C10069,0,14.1,0,29.95
1,7,C10070,0,14.1,0,15.57
1,7,C10071,0,14.5,0,22.6
1,7,C10072,0,18,0,31.05
1,7,C10073,0,14,0,17.9
1,7,C10074,0,19.1,1,49.26
1,8,C1001,0,18,0,44.18
1,8,C1002,0,15,0,33.5
1,8,C1003,0,12.5,1,11.31
1,8,C1004,0,16.2,0,31.97
1,8,C1005,0,16.5,0,34.47
1,8,C1006,0,17.1,1,37.71
1,8,C1007,0,17,0,31.41
1,8,C1008,0,14.5,1,19.75
1,8,C1009,0,14.9,0,18.83
1,8,C10010,0,12,1,14.76
1,8,C10011,0,16.5,1,23.6
1,8,C10012,0,14.4,0,18.31
1,8,C10013,0,14,0,29.76
1,8,C10014,0,18,0,35.14
1,8,C10015,0,13.5,1,11.95
1,8,C10016,0,14.5,1,21.15
1,8,C10017,0,16,1,29.76
1,8,C10018,0,17,0,29.51
1,8,C10020,0,17.6,0,26.71
1,8,C10021,0,16.8,0,31.08
1,8,C10022,0,15.5,0,27.2
1,8,C10023,0,NA,NA,NA
1,8,C10024,0,15.1,0,24.96
1,8,C10025,0,16,0,37.54
1,8,C10026,0,14.9,1,23.13
1,8,C10027,0,16.7,0,29.05
1,8,C10028,0,17.7,0,28.68
1,8,C10029,0,15.5,0,25.53
1,8,C10030,0,14.4,0,17.04
1,8,C10031,0,16.2,1,33.9
1,8,C10032,0,14.8,0,24.53
1,8,C10033,0,13,0,13.57
1,8,C10035,0,14.1,0,23.53
1,8,C10037,0,15.5,0,22.37
1,8,C10038,0,15.5,1,25.53
1,8,C10039,0,19,0,49.02
1,8,C10040,0,16,0,27.97
1,8,C10041,0,15.5,1,22.37
1,8,C10042,0,15,0,29.85
1,8,C10044,0,15.8,1,29.43
1,8,C10045,0,14.5,0,25.67
1,8,C10046,0,14.1,1,18
1,8,C10047,0,13.1,0,18.17
1,8,C10048,0,11.6,1,11.58
1,8,C10756,0,16.8,0,35.04
1,8,C17100,0,16,1,29.76
1,8,C10049,0,15.9,0,27.82
1,8,C10050,0,13.2,1,13.73
1,8,C10051,0,14.9,0,20.2
1,8,C10052,0,12.6,1,12.29
1,8,C10053,0,11.5,1,8.45
1,8,C10054,0,14,1,19.19
1,8,C10055,0,14,1,24.9
1,8,C10056,0,13.9,0,23.24
1,8,C10057,0,11.2,1,10.49
1,8,C10058,0,14.9,0,24.67
1,8,C10059,0,14.2,0,18.1
1,8,C10060,0,16.1,1,33.72
1,8,c10061,0,15.9,0,27.82
1,8,C10062,0,17,0,37.51
1,8,C10063,0,15,0,26.44
1,8,C10064,0,15.8,1,35.1
1,8,C10065,0,15.6,0,30.91
1,8,C10066,0,15.3,0,23.66
1,8,C10067,0,16.9,1,37.31
1,8,C10068,0,16.1,1,31.79
1,8,C10069,0,12,0,15.82
1,8,C10070,0,16,1,26.25
1,8,C10071,0,12.9,1,11.57
1,8,C10072,0,17.2,1,33.73
1,8,C10073,0,15.2,1,16.52
1,8,C10074,0,16.5,0,34.47
1,9,C1001,0,15.8,0,35.1
1,9,C1002,0,13.2,0,22.24
1,9,C1003,0,14,0,28.08
1,9,C1004,0,14.5,0,21.15
1,9,C1005,0,15,1,17.61
1,9,C1006,0,14.5,1,15.91
1,9,C1007,0,12,0,14.76
1,9,C1008,0,16,1,35.5
1,9,C1009,0,12.7,0,18.94
