TREE,FEMALE,MALE
4H22,649,590
4H24,649,590
4H26,649,590
4I21,649,612
4I22,649,612
4I24,649,612
4I25,649,612
4I26,649,612
4J21,649,626
4J22,649,626
4J23,649,626
4J24,649,626
4J25,649,626
4J26,649,626
4K21,649,634
4K22,649,634
4K23,649,634
4K24,649,634
4K25,649,634
4K26,649,634
4L21,649,652
4L22,649,652
4L23,649,652
4L24,649,652
4L26,649,652
4M21,652,626
4M22,652,626
4M24,652,626
4N21,652,634
4N23,652,634
4N24,652,634
4N26,652,634
4A31,590,626
4A32,590,626
4A33,590,626
4A34,590,626
4A35,590,626
4A36,590,626
4B32,590,634
4B33,590,634
4B35,590,634
4B36,590,634
4C31,590,652
4C32,590,652
4C33,590,652
4C34,590,652
4C35,590,652
4C36,590,652
4D31,612,590
4D32,612,590
4D33,612,590
4D34,612,590
4D35,612,590
4D36,612,590
4E31,612,634
4E32,612,634
4E33,612,634
4E34,612,634
4E35,612,634
4E36,612,634
4G31,626,634
4G32,626,634
4G34,626,634
4G35,626,634
4G36,626,634
4H31,649,590
4H33,649,590
4H34,649,590
4H35,649,590
4H36,649,590
4I31,649,612
4I33,649,612
4I34,649,612
4I35,649,612
4I36,649,612
4J31,649,626
4J32,649,626
4J33,649,626
4J35,649,626
4J36,649,626
4K31,649,634
4K32,649,634
4K33,649,634
4K34,649,634
4K36,649,634
4L31,649,652
4L32,649,652
4L33,649,652
4L34,649,652
4L35,649,652
4L36,649,652
4M31,652,626
4M32,652,626
4M33,652,626
4M34,652,626
4M35,652,626
4M36,652,626
4N33,652,634
4N34,652,634
4N35,652,634
4A41,590,626
4A42,590,626
4A44,590,626
4A45,590,626
4A46,590,626
4B42,590,634
4B43,590,634
4B44,590,634
4B46,590,634
4C41,590,652
4C42,590,652
4C43,590,652
4C45,590,652
4C46,590,652
4D42,612,590
4D43,612,590
4D44,612,590
4D45,612,590
4D46,612,590
4E41,612,634
4E42,612,634
4E43,612,634
4E44,612,634
4E45,612,634
4E46,612,634
4G41,626,634
4G42,626,634
4G43,626,634
4G44,626,634
4G45,626,634
4G46,626,634
4H41,649,590
4H42,649,590
4H43,649,590
4H45,649,590
4I41,649,612
4I42,649,612
4I43,649,612
4I44,649,612
4I46,649,612
4J41,649,626
4J43,649,626
4J44,649,626
4J45,649,626
4J46,649,626
4K43,649,634
4K44,649,634
4K45,649,634
4K46,649,634
4L41,649,652
4L42,649,652
4L43,649,652
4L44,649,652
4L45,649,652
4L46,649,652
4M41,652,626
4M42,652,626
4M43,652,626
4M44,652,626
4M45,652,626
4M46,652,626
4N44,652,634
4A51,590,626
4A52,590,626
4A53,590,626
4A54,590,626
4A55,590,626
4A56,590,626
4B51,590,634
4B55,590,634
4C51,590,652
4C53,590,652
4C54,590,652
4C55,590,652
4C56,590,652
4D51,612,590
4E51,612,634
4E52,612,634
4E53,612,634
4E54,612,634
4E55,612,634
4E56,612,634
4F51,612,652
4F53,612,652
4F56,612,652
4G51,626,634
4G52,626,634
4G53,626,634
4G55,626,634
4H51,649,590
4H52,649,590
4H53,649,590
4H54,649,590
4H55,649,590
4H56,649,590
4I51,649,612
4I54,649,612
4I55,649,612
4I56,649,612
4J52,649,626
4J56,649,626
4K51,649,634
4K52,649,634
4K53,649,634
4K55,649,634
4K56,649,634
4L51,649,652
4L52,649,652
4L53,649,652
4L54,649,652
4L55,649,652
4L56,649,652
4M51,652,626
4M52,652,626
4M53,652,626
4M54,652,626
4M56,652,626
4N55,652,634
4A61,590,626
4A62,590,626
4A63,590,626
4A64,590,626
4A65,590,626
4A66,590,626
4B61,590,634
4B62,590,634
4B63,590,634
4B64,590,634
4B66,590,634
4C61,590,652
4C62,590,652
4C63,590,652
4C64,590,652
4C65,590,652
4C66,590,652
4D64,612,590
4D65,612,590
4E62,612,634
4E63,612,634
4E64,612,634
4E66,612,634
4G62,626,634
4G63,626,634
4G64,626,634
4G65,626,634
4G66,626,634
4H61,649,590
4H63,649,590
4H64,649,590
4H65,649,590
4J61,649,626
4J62,649,626
4J63,649,626
4J64,649,626
4J65,649,626
4J66,649,626
4K61,649,634
4K62,649,634
4K63,649,634
4K64,649,634
4K66,649,634
4L61,649,652
4L63,649,652
4L64,649,652
4L66,649,652
4M61,652,626
4M62,652,626
4M63,652,626
4M64,652,626
4M66,652,626
4N63,652,634
4N66,652,634
