pig	sire	dam
1868	320	399
1869	320	399
1870	320	399
1871	320	399
1872	320	399
1873	361	400
1874	361	400
1875	361	400
1876	351	401
1877	351	401
1878	351	401
1879	351	401
1880	351	401
1881	318	402
1882	318	402
1883	318	402
1884	342	403
1885	342	403
1886	342	403
1887	342	403
1888	324	404
1889	344	405
1890	344	405
1891	311	406
1892	339	407
1893	339	407
1894	339	407
1895	339	407
1896	339	407
1897	330	408
1898	330	408
1899	330	408
1900	330	408
1901	392	409
1902	392	409
1903	386	410
1904	386	410
1905	386	410
1906	397	411
1907	397	411
1908	337	412
1909	337	412
1910	311	413
1911	315	414
1912	315	414
1913	315	414
1914	315	414
1915	315	414
1916	332	415
1917	332	415
1918	332	415
1919	358	416
1920	358	416
1921	358	416
1922	342	417
1923	342	417
1924	361	418
1925	361	418
1926	420	419
1927	420	419
1928	420	419
1929	422	421
1930	422	421
1931	422	421
1932	424	423
1933	424	423
1934	424	423
1935	426	425
1936	426	425
1937	426	425
1938	428	427
1939	428	427
1940	428	427
1941	428	427
1942	428	427
1943	430	429
1944	430	429
1945	432	431
1946	432	431
1947	432	431
1948	432	431
1949	432	431
1950	432	431
1951	432	431
1952	434	433
1953	434	433
1954	434	433
1955	434	433
1956	436	435
1957	436	435
1958	436	435
1959	436	435
1960	436	435
1961	438	437
1962	438	437
1963	438	437
1964	438	437
1965	438	437
1966	440	439
1967	440	439
1968	440	439
1969	442	441
1970	442	441
1971	442	441
1972	442	441
1973	442	441
1974	442	441
1975	442	441
1976	446	445
1977	446	445
1978	446	445
1979	446	445
1980	446	445
1981	446	445
1982	448	447
1983	448	447
1984	448	447
1985	450	449
1986	450	449
1987	450	449
1988	450	449
1989	450	449
1990	452	451
1991	452	451
1992	452	451
1993	452	451
1994	454	453
1995	454	453
1996	454	453
1997	454	453
1998	457	456
1999	457	456
2000	457	456
2001	457	456
2002	457	456
2003	422	458
2004	422	458
2005	434	459
2006	434	459
2007	434	459
2008	434	459
2009	461	460
2010	461	460
2011	461	460
2012	461	460
2013	463	462
2014	463	462
2015	463	462
2016	420	464
2017	420	464
2018	420	464
2019	420	464
2020	436	465
2021	436	465
2022	436	465
2023	436	465
2024	452	466
2025	446	467
2026	446	467
2027	446	467
2028	446	467
2029	446	467
2030	446	467
2031	446	467
2032	446	467
2033	426	468
2034	426	468
2035	426	468
2036	470	469
2037	470	469
2038	470	469
2039	470	469
2040	450	471
2041	450	471
2042	450	471
2043	450	471
2044	450	471
2045	424	472
2046	424	472
2047	424	472
2048	424	472
2049	454	473
2050	454	473
2051	454	473
2052	454	473
2053	461	474
2054	461	474
2055	461	474
2056	461	474
2057	461	474
2058	420	475
2059	420	475
2060	444	476
2061	444	476
2062	444	476
2063	444	476
2064	478	477
2065	478	477
2066	442	479
2067	442	479
2068	442	479
2069	442	479
2070	442	479
2071	440	481
2072	440	481
2073	440	481
2074	440	481
2075	440	481
2076	457	482
2077	478	483
2078	478	483
2079	426	484
2080	426	484
2081	430	485
2082	430	485
2083	430	485
2084	430	485
2085	430	485
2086	430	486
2087	430	486
2088	430	486
2089	430	486
2090	430	486
2091	488	487
2092	436	489
2093	436	489
2094	436	489
2095	436	489
2096	436	489
2097	436	489
2098	454	490
2099	454	490
2100	454	490
2101	454	490
2102	454	490
2103	432	491
2104	432	491
2105	432	491
2106	432	491
2107	432	491
2108	432	491
2109	488	492
2110	488	492
2111	488	492
2112	488	492
2113	446	493
2114	446	493
2115	446	493
2116	446	493
2117	446	493
2118	446	493
2119	448	494
2120	448	494
2121	448	494
2122	448	494
2123	448	494
2124	448	494
2125	444	495
2126	444	495
2127	444	495
2128	444	495
2129	470	496
2130	470	496
2131	450	497
2132	450	497
2133	438	498
2134	438	498
2135	438	498
2136	438	498
2137	434	499
