treeid	 female	 prov
233.11	 233	 13
233.12	 233	 13
233.13	 233	 13
233.14	 233	 13
233.15	 233	 13
233.16	 233	 13
233.17	 233	 13
233.18	 233	 13
233.19	 233	 13
233.20	 233	 13
233.21	 233	 13
233.22	 233	 13
233.23	 233	 13
233.24	 233	 13
233.25	 233	 13
233.26	 233	 13
238.1	 238	 13
238.2	 238	 13
238.3	 238	 13
238.4	 238	 13
238.5	 238	 13
238.6	 238	 13
238.7	 238	 13
238.8	 238	 13
238.9	 238	 13
238.10	 238	 13
238.11	 238	 13
238.12	 238	 13
238.13	 238	 13
238.14	 238	 13
238.15	 238	 13
238.16	 238	 13
238.17	 238	 13
238.18	 238	 13
238.19	 238	 13
238.20	 238	 13
238.21	 238	 13
238.22	 238	 13
238.23	 238	 13
238.24	 238	 13
238.25	 238	 13
238.26	 238	 13
238.27	 238	 13
238.28	 238	 13
239.1	 239	 13
239.2	 239	 13
239.3	 239	 13
239.4	 239	 13
239.5	 239	 13
239.6	 239	 13
239.7	 239	 13
239.8	 239	 13
239.9	 239	 13
239.10	 239	 13
239.11	 239	 13
239.12	 239	 13
239.13	 239	 13
239.14	 239	 13
239.15	 239	 13
239.16	 239	 13
239.17	 239	 13
239.18	 239	 13
239.19	 239	 13
239.20	 239	 13
239.21	 239	 13
239.22	 239	 13
239.23	 239	 13
239.24	 239	 13
239.25	 239	 13
239.26	 239	 13
239.27	 239	 13
245.1	 245	 13
245.2	 245	 13
245.3	 245	 13
245.4	 245	 13
245.5	 245	 13
245.6	 245	 13
245.7	 245	 13
245.8	 245	 13
245.9	 245	 13
245.10	 245	 13
245.11	 245	 13
245.12	 245	 13
245.13	 245	 13
245.14	 245	 13
245.15	 245	 13
245.16	 245	 13
245.17	 245	 13
245.18	 245	 13
245.19	 245	 13
245.20	 245	 13
245.21	 245	 13
245.22	 245	 13
245.23	 245	 13
245.24	 245	 13
245.25	 245	 13
245.26	 245	 13
245.27	 245	 13
247.1	 247	 13
247.2	 247	 13
247.3	 247	 13
247.4	 247	 13
247.5	 247	 13
247.6	 247	 13
247.7	 247	 13
247.8	 247	 13
247.9	 247	 13
247.10	 247	 13
247.11	 247	 13
247.12	 247	 13
247.13	 247	 13
247.14	 247	 13
247.15	 247	 13
247.16	 247	 13
247.17	 247	 13
247.18	 247	 13
247.19	 247	 13
247.20	 247	 13
247.21	 247	 13
247.22	 247	 13
247.23	 247	 13
247.24	 247	 13
247.25	 247	 13
247.26	 247	 13
247.27	 247	 13
251.1	 251	 13
251.2	 251	 13
251.3	 251	 13
251.4	 251	 13
251.5	 251	 13
251.6	 251	 13
251.7	 251	 13
251.8	 251	 13
251.9	 251	 13
251.10	 251	 13
251.11	 251	 13
251.12	 251	 13
251.13	 251	 13
251.14	 251	 13
251.15	 251	 13
251.16	 251	 13
251.17	 251	 13
251.18	 251	 13
251.19	 251	 13
251.20	 251	 13
251.21	 251	 13
251.22	 251	 13
251.23	 251	 13
251.24	 251	 13
251.25	 251	 13
251.26	 251	 13
252.1	 252	 13
252.2	 252	 13
252.3	 252	 13
252.4	 252	 13
252.5	 252	 13
252.6	 252	 13
252.7	 252	 13
252.8	 252	 13
252.9	 252	 13
252.10	 252	 13
252.11	 252	 13
252.12	 252	 13
252.13	 252	 13
252.14	 252	 13
252.15	 252	 13
252.16	 252	 13
252.17	 252	 13
252.18	 252	 13
252.19	 252	 13
252.20	 252	 13
252.21	 252	 13
252.22	 252	 13
252.23	 252	 13
252.24	 252	 13
252.25	 252	 13
252.26	 252	 13
253.1	 253	 13
253.2	 253	 13
253.3	 253	 13
253.4	 253	 13
253.5	 253	 13
253.6	 253	 13
253.7	 253	 13
253.8	 253	 13
253.9	 253	 13
253.10	 253	 13
253.11	 253	 13
253.12	 253	 13
253.13	 253	 13
253.14	 253	 13
253.15	 253	 13
253.16	 253	 13
253.17	 253	 13
253.18	 253	 13
253.19	 253	 13
253.20	 253	 13
253.21	 253	 13
253.22	 253	 13
253.23	 253	 13
253.24	 253	 13
