Year,Progeny,female,male,cross,r,DTA,PltHt
2013,2788,171_8,170_12,170_12x171_8,-1,73,255
2013,2793,164_11,167_1,164_11x167_1,1,72,240
2013,2794,170_4,170_7,170_4x170_7,1,76,250
2013,2795,164_4,165_4,164_4x165_4,1,75,225
2013,2796,171_4,171_7,171_4x171_7,1,75,240
2013,2797,170_11,170_6,170_11x170_6,1,76,240
2013,2799,167_5,164_14,164_14x167_5,-1,72,225
2013,2800,169_6,164_1,164_1x169_6,-1,74,225
2013,2801,167_5,169_6,167_5x169_6,1,81,140
2013,2804,169_11,170_4,169_11x170_4,1,NA,165
2013,2805,171_8,170_12,170_12x171_8,-1,75,240
2013,2808,171_11,165_5,165_5x171_11,-1,79,260
2013,2810,171_6,170_13,170_13x171_6,-1,74,220
2013,2814,164_2,166_12,164_2x166_12,1,85,190
2013,2815,164_8,171_10,164_8x171_10,1,81,240
2013,2816,170_1,171_11,170_1x171_11,1,79,280
2013,2817,170_2,170_11,170_11x170_2,-1,87,180
2013,2818,164_11,167_1,164_11x167_1,1,80,205
2013,2819,171_4,171_7,171_4x171_7,1,84,225
2013,2820,171_11,170_1,170_1x171_11,-1,76,240
2013,2822,167_5,166_9,166_9x167_5,-1,80,280
2013,2823,170_11,170_2,170_11x170_2,1,87,245
2013,2825,164_4,166_11,164_4x166_11,1,81,245
2013,2826,165_6,166_12,165_6x166_12,1,73,255
2013,2829,170_12,167_13,167_13x170_12,-1,80,250
2013,2830,166_9,169_6,166_9x169_6,1,69,260
2013,2831,170_7,171_13,170_7x171_13,1,74,265
2013,2832,167_12,167_13,167_12x167_13,1,74,265
2013,2836,164_4,165_4,164_4x165_4,1,NA,NA
2013,2837,167_8,171_10,167_8x171_10,1,NA,NA
2013,2841,165_4,164_5,164_5x165_4,-1,75,250
2013,2843,168_8,166_10,166_10x168_8,-1,76,255
2013,2848,164_4,166_11,164_4x166_11,1,77,255
2013,2849,170_1,165_5,165_5x170_1,-1,80,280
2013,2850,164_8,171_10,164_8x171_10,1,79,250
2013,2853,171_8,168_2,168_2x171_8,-1,85,NA
2013,2856,171_4,168_5,168_5x171_4,-1,NA,70
2013,2857,169_6,164_14,164_14x169_6,-1,86,230
2013,2858,164_4,165_4,164_4x165_4,1,80,NA
2013,2865,171_6,165_10,165_10x171_6,-1,80,230
2013,2870,169_6,164_1,164_1x169_6,-1,80,275
2013,2874,169_6,164_1,164_1x169_6,-1,76,250
2013,2877,164_8,167_8,164_8x167_8,1,75,265
2013,2879,164_8,167_8,164_8x167_8,1,74,255
2013,2882,167_5,164_1,164_1x167_5,-1,75,230
2013,2883,170_12,167_12,167_12x170_12,-1,69,235
2013,2884,170_4,171_13,170_4x171_13,1,86,210
2013,2885,170_6,170_2,170_2x170_6,-1,87,180
2013,2887,171_8,167_12,167_12x171_8,-1,75,NA
2013,2889,167_5,169_6,167_5x169_6,1,74,255
2013,2890,170_7,171_5,170_7x171_5,1,75,275
2013,2894,167_12,168_2,167_12x168_2,1,77,250
2013,2895,171_4,171_7,171_4x171_7,1,72,235
2013,2897,170_1,167_6,167_6x170_1,-1,72,280
2013,2898,170_6,170_2,170_2x170_6,-1,75,NA
2013,2900,167_8,164_8,164_8x167_8,-1,NA,NA
2013,2901,164_2,166_12,164_2x166_12,1,76,235
2013,2902,165_6,166_12,165_6x166_12,1,80,210
2013,2903,171_4,171_7,171_4x171_7,1,80,250
2013,2906,171_4,171_7,171_4x171_7,1,77,235
2013,2909,171_11,170_1,170_1x171_11,-1,73,245
2013,2911,166_9,164_1,164_1x166_9,-1,76,270
2013,2914,164_11,165_10,164_11x165_10,1,74,235
2013,2917,171_10,164_8,164_8x171_10,-1,72,235
2013,2918,167_8,164_8,164_8x167_8,-1,69,220
2013,2919,170_11,170_2,170_11x170_2,1,87,195
2013,2920,171_6,165_10,165_10x171_6,-1,78,260
2013,2921,170_2,170_11,170_11x170_2,-1,81,270
2013,2922,171_9,170_2,170_2x171_9,-1,76,235
2013,2923,169_6,164_1,164_1x169_6,-1,76,250
2013,2926,171_9,170_2,170_2x171_9,-1,73,NA
2013,2927,168_5,171_7,168_5x171_7,1,74,235
2013,2928,166_9,164_1,164_1x166_9,-1,NA,NA
2013,2930,164_14,166_9,164_14x166_9,1,73,250
2013,2931,168_5,171_7,168_5x171_7,1,75,260
2013,2932,171_8,167_13,167_13x171_8,-1,77,250
2013,2937,166_12,165_6,165_6x166_12,-1,81,220
2013,2940,171_6,165_10,165_10x171_6,-1,72,225
2013,2941,170_11,170_2,170_11x170_2,1,75,235
2013,2942,164_14,164_1,164_1x164_14,-1,80,225
2013,2943,170_11,170_2,170_11x170_2,1,NA,NA
2013,2945,169_11,170_4,169_11x170_4,1,72,250
2013,2947,171_5,171_13,171_13x171_5,-1,72,255
2013,2949,170_11,170_2,170_11x170_2,1,80,265
2013,2950,170_2,171_3,170_2x171_3,1,76,245
2013,2951,169_6,164_1,164_1x169_6,-1,81,140
2013,2952,170_2,170_11,170_11x170_2,-1,76,255
2013,2954,171_10,169_12,169_12x171_10,-1,66,190
2013,2955,164_1,166_9,164_1x166_9,1,76,240
