treeid,female,male,prov,block,plot,height,diameter,volume
205.21,205,0,11,5,239,5.8,6.8,0.008
205.22,205,0,11,5,239,7.2,10.6,0.0243
205.23,205,0,11,5,239,8.9,17.5,0.0818
206.1,206,0,11,1,17,11.2,20.2,0.1371
206.2,206,0,11,1,17,12.1,20.5,0.1526
206.3,206,0,11,1,17,9.5,25.3,0.1824
206.4,206,0,11,1,17,9.7,17.4,0.0881
206.5,206,0,11,1,17,8.5,13.2,0.0444
206.6,206,0,11,1,17,11.5,19.7,0.1339
206.7,206,0,11,2,78,12.2,23.5,0.2021
206.8,206,0,11,2,78,9,17.9,0.0865
206.9,206,0,11,2,78,7.8,15.5,0.0562
206.10,206,0,11,2,78,11.2,20.4,0.1398
206.11,206,0,11,2,78,11,17.2,0.0976
206.12,206,0,11,3,129,11.1,17.3,0.0997
206.13,206,0,11,3,129,8.8,13.4,0.0474
206.14,206,0,11,3,129,7.5,9.2,0.019
206.15,206,0,11,3,129,10.9,18.9,0.1168
206.16,206,0,11,3,129,9.4,12.8,0.0462
206.17,206,0,11,4,148,7.7,12.5,0.0361
206.18,206,0,11,4,148,11.7,21.2,0.1578
206.19,206,0,11,4,148,10,17.7,0.094
206.20,206,0,11,5,237,11.8,26.1,0.2411
206.21,206,0,11,5,237,9.5,12.8,0.0467
206.22,206,0,11,5,237,8.9,15.5,0.0641
206.23,206,0,11,5,237,8.4,10.4,0.0273
206.24,206,0,11,5,237,9.9,16.4,0.0799
207.1,207,0,11,1,16,10.7,15.8,0.0801
207.2,207,0,11,1,16,12.1,16.7,0.1012
207.3,207,0,11,1,16,9.2,15.1,0.0629
207.4,207,0,11,1,16,11.6,21.8,0.1654
207.5,207,0,11,1,16,11.9,20.4,0.1486
207.6,207,0,11,2,72,12,19.1,0.1313
207.7,207,0,11,2,72,10.9,20.8,0.1415
207.8,207,0,11,2,72,12,20.8,0.1558
207.9,207,0,11,2,72,7.1,10.5,0.0235
207.10,207,0,11,2,72,8.9,10.6,0.03
207.11,207,0,11,3,127,9.2,14.8,0.0605
207.12,207,0,11,3,127,8.9,12.7,0.0431
207.13,207,0,11,3,127,5.7,9.5,0.0154
207.14,207,0,11,3,127,7.8,13.5,0.0426
207.15,207,0,11,3,127,7.3,12.3,0.0331
207.16,207,0,11,4,152,8.3,18,0.0807
207.17,207,0,11,4,152,9,16.5,0.0735
207.18,207,0,11,4,152,9.8,16.1,0.0762
207.19,207,0,11,4,152,7.7,15,0.052
207.20,207,0,11,5,232,10.1,19.5,0.1152
207.21,207,0,11,5,232,10.2,18.5,0.1047
207.22,207,0,11,5,232,8.9,14.6,0.0569
207.23,207,0,11,5,232,10.1,17.9,0.0971
207.24,207,0,11,5,232,9.8,19.6,0.1129
207.25,207,0,11,5,232,11.1,17.8,0.1055
210.1,210,0,12,1,4,11.1,23.2,0.1792
210.2,210,0,12,1,4,11.5,21.6,0.161
210.3,210,0,12,1,4,11,17.5,0.1011
210.4,210,0,12,2,89,13.8,25,0.2588
210.5,210,0,12,2,89,11.2,19.9,0.1331
210.6,210,0,12,2,89,9,14.9,0.0599
210.7,210,0,12,2,89,11.7,18.9,0.1254
210.8,210,0,12,2,89,10.1,16.3,0.0805
210.9,210,0,12,3,107,11.9,21.3,0.162
210.10,210,0,12,3,107,7.5,12.7,0.0363
210.11,210,0,12,3,107,9.7,16.9,0.0831
210.12,210,0,12,3,107,8.8,14.9,0.0586
210.13,210,0,12,3,107,8.5,13.9,0.0493
210.14,210,0,12,4,188,12.9,22.3,0.1925
210.15,210,0,12,4,188,10.5,20,0.126
210.16,210,0,12,4,188,11.6,21.3,0.1579
210.17,210,0,12,4,188,8.9,15,0.0601
210.18,210,0,12,4,188,11,21.5,0.1525
210.19,210,0,12,5,211,10.2,17.5,0.0937
210.20,210,0,12,5,211,11.5,23.2,0.1857
210.21,210,0,12,5,211,10.2,19.1,0.1116
210.22,210,0,12,5,211,10.5,25.2,0.2
210.23,210,0,12,5,211,9.4,14.6,0.0601
210.24,210,0,12,1,4,7.1,9.2,0.018
210.25,210,0,12,4,188,5.8,8,0.0111
210.26,210,0,12,1,4,11.4,22.3,0.1701
211.1,211,0,12,1,6,12.2,22.4,0.1836
211.2,211,0,12,1,6,9.5,15,0.0641
211.3,211,0,12,1,6,15.2,26.2,0.313
211.4,211,0,12,1,6,12.1,22.4,0.1821
211.5,211,0,12,1,6,12.4,23.3,0.202
211.6,211,0,12,1,6,11.3,20.2,0.1383
211.7,211,0,12,2,86,9.6,13.6,0.0533
211.8,211,0,12,2,86,13.4,22,0.1946
211.9,211,0,12,2,86,11.8,20.6,0.1502
211.10,211,0,12,2,86,9.8,17.1,0.086
211.11,211,0,12,2,86,9.9,15.1,0.0677
211.12,211,0,12,3,99,8.8,12.6,0.0419
211.13,211,0,12,3,99,11.9,20.1,0.1442
211.14,211,0,12,3,99,13.1,23.9,0.2245
211.15,211,0,12,3,99,11,21,0.1455
211.16,211,0,12,4,186,8.8,12.5,0.0413
211.17,211,0,12,4,186,8.8,18.7,0.0923
211.18,211,0,12,4,186,9.6,15.3,0.0674
211.19,211,0,12,4,186,9.2,14.5,0.058
211.20,211,0,12,4,186,12.4,26.8,0.2672
211.21,211,0,12,5,213,9.4,12.7,0.0455
211.22,211,0,12,5,213,11.6,25.7,0.2299
211.23,211,0,12,5,213,10.1,17.4,0.0917
211.24,211,0,12,5,213,10.2,19,0.1105
211.25,211,0,12,5,213,10.1,18.5,0.1037
212.1,212,0,12,1,7,12.6,21.9,0.1813
212.2,212,0,12,1,7,11,17.9,0.1057
212.3,212,0,12,1,7,12.2,20.2,0.1493
212.4,212,0,12,1,7,11.5,19.4,0.1298
212.5,212,0,12,1,7,9.1,16.7,0.0761
212.6,212,0,12,1,7,10.5,18.3,0.1055
212.7,212,0,12,2,90,12.2,23,0.1936
