tree,female,male,cross,site,rep,col,row,HT05,VOL05
147,24,1,Q,1,1,9,5,91.9,48.7
64,6,7,L,1,1,9,6,103.7,123.8
filler,0,0,,1,2,9,7,,
103,16,21,N,1,2,9,8,103.7,117.9
86,16,21,N,1,2,9,9,109.4,123.9
110,16,21,N,1,2,9,10,100.4,138.2
62,6,7,L,1,2,9,11,90.9,52.2
127,0,0,NP,1,2,9,12,106.5,97.9
114,16,21,N,1,3,9,13,100.4,87.1
filler,0,0,,1,3,9,14,,
33,8,9,H,1,3,9,15,,
filler,0,0,,1,3,9,16,,
110,16,21,N,1,3,9,17,111.7,120.3
156,24,1,Q,1,3,9,18,125.9,155.6
60,6,7,L,1,4,9,19,101.8,83.2
103,16,21,N,1,4,9,20,89.5,25.4
filler,0,0,,1,4,9,21,,
160,17,15,R,1,4,9,22,106.5,139.5
145,24,1,Q,1,4,9,23,123.5,139.1
146,24,1,Q,1,4,9,24,108.4,111
49,6,7,L,1,5,9,25,122.1,124.5
104,16,21,N,1,5,9,26,121.6,150.7
133,0,0,NP,1,5,9,27,116.4,131.5
115,16,21,N,1,5,9,28,101.3,93.2
91,16,21,N,1,5,9,29,116,137.5
filler,0,0,,1,5,9,30,,
108,16,21,N,1,6,9,31,105.1,85.9
filler,0,0,,1,6,9,32,,
56,6,7,L,1,6,9,33,108.4,88.6
filler,0,0,,1,6,9,34,,
41,23,13,K,1,6,9,35,112.2,173.9
151,24,1,Q,1,6,9,36,124,139.6
55,6,7,L,1,7,9,37,106.1,132.6
79,16,21,N,1,7,9,38,106.1,103
133,0,0,NP,1,7,9,39,86.2,65.9
135,0,0,NP,1,7,9,40,,
105,16,21,N,1,7,9,41,110.3,144
149,24,1,Q,1,7,9,42,117.8,153.1
128,0,0,NP,1,8,9,43,90,125.2
64,6,7,L,1,8,9,44,88.1,91
108,16,21,N,1,8,9,45,76.8,50.6
52,6,7,L,1,8,9,46,95.7,93.2
48,0,0,KP,1,8,9,47,78.2,55.5
136,15,6,O,1,8,9,48,100.9,98.1
42,23,13,K,1,1,10,1,100.9,103.6
filler,0,0,,1,1,10,2,,
114,16,21,N,1,1,10,3,90.9,65.1
118,16,21,N,1,1,10,4,102.7,99.9
105,16,21,N,1,1,10,5,116,179.1
95,16,21,N,1,1,10,6,80.1,34.4
filler,0,0,,1,2,10,7,,
25,7,24,A,1,2,10,8,111.2,132.2
85,16,21,N,1,2,10,9,107,92.8
119,16,21,N,1,2,10,10,107,87.5
38,23,13,K,1,2,10,11,104.6,143.5
30,7,24,A,1,2,10,12,88.6,76.9
filler,0,0,,1,3,10,13,,
123,16,21,N,1,3,10,14,96.6,121.7
52,6,7,L,1,3,10,15,115,136.4
162,17,15,R,1,3,10,16,80.6,74.4
82,16,21,N,1,3,10,17,86.2,53.2
91,16,21,N,1,3,10,18,127.8,157.8
filler,0,0,,1,4,10,19,,
151,24,1,Q,1,4,10,20,141,249.7
filler,0,0,,1,4,10,21,,
97,16,21,N,1,4,10,22,99.4,86.3
34,20,23,J,1,4,10,23,115.5,157.1
139,15,6,O,1,4,10,24,126.3,163.4
filler,0,0,,1,5,10,25,,
33,8,9,H,1,5,10,26,84.8,14.2
filler,0,0,,1,5,10,27,,
163,8,14,S,1,5,10,28,78.7,20.7
118,16,21,N,1,5,10,29,107.5,77.5
filler,0,0,,1,5,10,30,,
filler,0,0,,1,6,10,31,,
122,16,21,N,1,6,10,32,99,71.1
filler,0,0,,1,6,10,33,,
filler,0,0,,1,6,10,34,,
